title,author,pub,date,price,grade
"NFT Investing for Beginners to Advanced, Make Money; Buy, Sell, Trade, Invest in Crypto Art, Create Digital Assets, Earn Passive income in Cryptocurrency, Stocks, Collectables and Royalty Shares",,,,"24,070",
"NFT (Non Fungible Tokens), Guide; Buying, Selling, Trading, Investing in Crypto Collectibles Art. Create Wealth and Build Assets",,,,"24,070",
"NFT Investing for Beginners: How to Buy, Make, Sell and Trade Non-Fungible Tokens Crypto for Profit - Includes The Most Effective Strategies That W",,,,"55,390",
"NFT Investing for Beginners: How to Buy, Make, Sell and Trade Non-Fungible Tokens Crypto for Profit - Includes The Most Effective Strategies That W",,,,"50,230",
NFT (Non Fungible Tokens) Investing Guide for Beginners to Advance 2022 & Beyond,,,,"24,070",
한 권으로 끝내는 NFT 시크릿노트,"김덕보,박영주",보민출판사,2022년 03월,"12,600",
"NFT, 디지털 자산의 미래",이임복,천그루숲,2022년 02월,"10,080",
블록체인 토큰경제 NFT 기술동향 및 중앙은행 디지털화폐(CBDC) 산업현황,,,,"360,000",
"서른 다섯, 죽기 직전 만난 NFT 코인 해법서",최준호,BOOKK(부크크),2021년 09월,"16,000",10.0
NFT 투자의 정석,"임동민,한서희,유민호,아곤",한즈미디어,2022년 02월,"11,800",
NFT 미술과 아트테크,이규원,북스토리지,2022년 02월,"9,500",
NFT 실체와 가치,장세형,위키북스,2022년 04월,"18,000",
NFT coin 엔에프티 코인 데코 장식 주화 가상암호화폐,,,,"1,900",
돈 버는 NFT 처음부터 제대로 만들고 판매하기,이영호,흔들의자,2022년 01월,"17,500",
Ethereum and Nfts: Strategies to Make Money: Nft Categories with High Potential Profit START YOUR NFTS BUSINESS,,,,"34,800",
Nft Selling Platforms: How to Buy Nonfungible Tokens Comparison of Traditional And Digital Area Investment,,,,"47,710",
Nft and Blockchain: Why is it popular now? Understanding the Different Types of Non-Financial Transactions,,,,"34,660",
Nft Selling Platforms: How to Buy Nonfungible Tokens Comparison of Traditional And Digital Area Investment,,,,"34,800",
Ethereum and Nfts: Strategies to Make Money: Nft Categories with High Potential Profit START YOUR NFTS BUSINESS,,,,"47,710",
Defi and Nfts: Projects Constructing a Strong Foundation Beneath the Marriage A List of Nft Projects I'm Going to Invest In 2022,,,,"34,800",
Defi and Nfts: Projects Constructing a Strong Foundation Beneath the Marriage A List of Nft Projects I'm Going to Invest In 2022,,,,"47,710",
Nft and Blockchain: Why is it popular now? Understanding the Different Types of Non-Financial Transactions,,,,"47,710",
Nft: Why is it popular now? Understanding the Different Types of Non-Financial Transactions,,,,"47,710",
Nft: Why is it popular now? Understanding the Different Types of Non-Financial Transactions,,,,"34,800",
"NFT Investing for Beginners to Advanced, Make Money; Buy, Sell, Trade, Invest in Crypto Art, Create Digital Assets, Earn Passive income in Cryptocurrency, Stocks, Collectables and Royalty Shares",,,,"24,070",
"NFT (Non Fungible Tokens), Guide; Buying, Selling, Trading, Investing in Crypto Collectibles Art. Create Wealth and Build Assets",,,,"24,070",
"NFT Investing for Beginners: How to Buy, Make, Sell and Trade Non-Fungible Tokens Crypto for Profit - Includes The Most Effective Strategies That W",,,,"55,390",
"NFT Investing for Beginners: How to Buy, Make, Sell and Trade Non-Fungible Tokens Crypto for Profit - Includes The Most Effective Strategies That W",,,,"50,230",
NFT (Non Fungible Tokens) Investing Guide for Beginners to Advance 2022 & Beyond,,,,"24,070",
한 권으로 끝내는 NFT 시크릿노트,"김덕보,박영주",보민출판사,2022년 03월,"12,600",
"NFT, 디지털 자산의 미래",이임복,천그루숲,2022년 02월,"10,080",
블록체인 토큰경제 NFT 기술동향 및 중앙은행 디지털화폐(CBDC) 산업현황,,,,"360,000",
"Metaverse: All you Need to Know About the Future of Decentralized Finance (Defi), Cryptocurrency, Blockchain Gaming, and NFT (Non",,,,"38,700",
"NFT World: The Worldwide Explosion of NFTs, Cryptoart, and the Metaverse, and How You Can Profit from this New and Exciting Inves",,,,"19,300",
